movie_id,title,language,budget,revenue,release_date,year,release_month,runtime,popularity,tmdb_vote_count,rating_count,analysis_vote_count,avg_rating,roi,genres,primary_genre
2,Ariel,fi,0,0,1988-10-21,1988,10,69,3.8605,44,1,44,9.0,,Crime|Drama,Crime
3,Varjoja paratiisissa,fi,0,0,1986-10-16,1986,10,76,2.2921,35,0,35,,,Comedy|Drama,Comedy
5,Four Rooms,en,4000000,4300000,1995-12-09,1995,12,98,9.0266,539,26,539,6.58,1.075,Comedy|Crime,Comedy
6,Judgment Night,en,0,12136938,1993-10-15,1993,10,110,5.5387,79,4,79,6.5,,Action|Crime|Thriller,Action
11,Star Wars,en,11000000,775398007,1977-05-25,1977,5,121,42.1497,6778,291,6778,8.44,70.4907,Action|Adventure|Science Fiction,Action
12,Finding Nemo,en,94000000,940335536,2003-05-30,2003,5,100,25.4978,6292,122,6292,7.61,10.0036,Animation|Family,Animation
13,Forrest Gump,en,55000000,677945399,1994-07-06,1994,7,142,48.3072,8147,341,8147,8.11,12.3263,Comedy|Drama|Romance,Comedy
14,American Beauty,en,15000000,356296601,1999-09-15,1999,9,122,20.7266,3438,220,3438,8.47,23.7531,Drama,Drama
15,Citizen Kane,en,839727,23217674,1941-04-30,1941,4,119,15.8119,1244,85,1244,8.4,27.6491,Drama|Mystery,Drama
16,Dancer in the Dark,en,12800000,40031879,2000-05-17,2000,5,140,10.6848,392,23,392,7.61,3.1275,Crime|Drama|Music,Crime
17,The Dark,en,0,0,2006-01-26,2006,1,87,5.6915,76,0,76,,,Horror|Mystery|Thriller,Horror
18,The Fifth Element,en,90000000,263920180,1997-05-07,1997,5,126,24.3053,3962,118,3962,7.36,2.9324,Action|Adventure|Fantasy|Science Fiction|Thriller,Action
19,Metropolis,de,92620000,650422,1927-01-10,1927,1,153,14.4879,666,26,666,7.96,0.007,Drama|Science Fiction,Drama
20,My Life Without Me,en,0,9726954,2003-03-07,2003,3,106,10.3105,78,2,78,8.5,,Drama|Romance,Drama
21,The Endless Summer,en,0,0,1966-06-15,1966,6,95,1.3788,23,10,23,8.2,,Documentary,Documentary
22,Pirates of the Caribbean: The Curse of the Black Pearl,en,140000000,655011224,2003-07-09,2003,7,143,47.3267,7191,141,7191,7.71,4.6787,Action|Adventure|Fantasy,Action
24,Kill Bill: Vol. 1,en,30000000,180949000,2003-10-10,2003,10,111,25.2619,5091,111,5091,7.64,6.0316,Action|Crime,Action
25,Jarhead,en,72000000,96889998,2005-11-04,2005,11,125,9.997,776,13,776,7.0,1.3457,Drama|War,Drama
26,LaLehet Al HaMayim,he,1400000,0,2004-02-05,2004,2,103,1.71,20,1,20,8.0,,Drama,Drama
27,9 Songs,en,1000000,1574623,2004-07-16,2004,7,66,18.8477,103,0,103,,1.5746,Drama|Music|Romance,Drama
28,Apocalypse Now,en,31500000,89460381,1979-08-15,1979,8,153,13.5963,2112,112,2112,8.28,2.84,Drama|War,Drama
30,彼女の想いで,ja,0,0,1995-12-23,1995,12,44,0.988,11,0,11,,,Animation|Science Fiction,Animation
33,Unforgiven,en,14000000,159157447,1992-08-07,1992,8,131,10.9421,1133,57,1133,7.77,11.3684,Western,Western
